Obs,Place,State,Gender,Age,Age2,AgeGrp,Year,Seed,Time,Diff,Split-1,Split-2,Split-3,Split-4,Split-5,Split-6,Split-7,Split-8,Split-9,Split-10
1,1,MO,0,53,2809,1,2009,391.66,366.25,-25.41,32.16,35.42,36.70,37.59,38.05,37.69,37.80,38.51,37.79,34.54
2,2,WV,0,52,2704,1,2009,404.60,368.92,-35.68,32.89,35.10,36.66,37.19,38.34,38.17,38.23,38.39,37.71,36.24
3,3,KY,0,51,2601,1,2009,432.23,377.13,-55.10,33.03,36.32,36.95,37.58,38.05,38.75,39.11,39.70,39.01,38.63
4,4,KY,0,53,2809,1,2009,385.50,381.30,-4.20,32.12,36.36,38.29,38.98,38.91,39.23,39.55,40.22,39.35,38.29
5,5,KY,0,53,2809,1,2009,476.11,407.65,-68.46,36.67,39.21,40.31,41.28,41.69,42.83,42.50,41.90,41.29,39.97
6,6,GA,0,54,2916,1,2009,418.00,412.43,-5.57,34.80,38.45,41.03,41.62,41.56,42.22,42.14,48.29,42.73,39.59
7,7,MD,0,52,2704,1,2009,451.31,453.76,2.45,34.42,40.06,45.77,48.05,48.44,47.79,48.62,47.74,48.07,44.80
8,8,OK,0,53,2809,1,2009,520.79,532.18,11.39,50.42,51.04,53.76,55.22,53.29,53.11,53.07,53.83,52.46,55.98
9,1,WA,0,57,3249,2,2009,323.32,301.88,-21.44,28.75,30.90,31.19,30.97,30.78,30.44,29.90,29.79,30.05,29.11
10,2,CA,0,59,3481,2,2009,332.57,317.16,-15.41,28.90,30.75,31.24,31.42,31.52,31.75,32.01,32.94,33.56,33.07
11,3,TN,0,55,3025,2,2009,351.20,335.12,-16.08,29.15,31.18,32.40,33.26,33.99,34.29,35.06,35.43,35.14,35.22
12,4,CA,0,57,3249,2,2009,363.43,338.67,-24.76,30.48,33.16,34.37,34.75,34.37,34.84,34.89,35.10,34.65,32.06
13,5,CO,0,55,3025,2,2009,390.80,368.92,-21.88,31.43,35.44,36.89,37.54,38.06,37.98,38.20,38.93,38.18,36.27
14,6,KY,0,59,3481,2,2009,442.74,371.50,-71.24,31.23,36.50,38.11,38.41,38.30,37.95,37.78,38.88,38.26,36.08
15,7,TX,0,59,3481,2,2009,456.86,438.68,-18.18,36.88,42.55,44.13,46.07,45.56,45.67,46.02,45.02,45.40,41.38
16,8,CA,0,59,3481,2,2009,491.90,464.72,-27.18,37.51,45.38,47.39,47.95,47.86,48.34,48.75,48.70,48.38,44.46
17,9,OH,0,59,3481,2,2009,533.10,484.96,-48.14,40.79,46.02,49.21,48.66,51.97,51.55,52.37,51.98,49.64,42.77
18,10,WI,0,58,3364,2,2009,535.10,511.26,-23.84,43.66,49.64,51.91,52.20,53.45,53.22,53.49,52.95,52.34,48.40
19,11,TX,0,58,3364,2,2009,561.40,627.25,65.85,50.49,59.49,62.42,64.51,66.27,67.62,67.22,65.64,66.59,57.00
20,1,WA,0,60,3600,3,2009,349.98,329.04,-20.94,28.97,31.46,32.33,32.77,33.96,33.92,34.12,34.27,34.44,32.80
21,2,CA,0,63,3969,3,2009,402.63,375.18,-27.45,32.45,36.11,36.73,38.06,38.73,38.63,39.00,39.06,38.71,37.70
22,3,CO,0,61,3721,3,2009,376.00,377.64,1.64,33.87,37.29,38.86,39.28,37.62,37.91,39.14,39.03,38.03,36.61
23,4,FL,0,60,3600,3,2009,379.80,379.41,-0.39,34.00,37.42,37.88,39.14,38.26,38.89,38.78,38.80,38.60,37.64
24,5,CA,0,62,3844,3,2009,412.00,383.62,-28.38,31.67,36.06,37.72,39.21,40.50,40.19,40.25,40.62,40.08,37.32
25,6,NC,0,64,4096,3,2009,402.80,385.90,-16.90,32.07,35.17,37.49,38.53,39.37,40.44,40.00,41.30,41.09,40.44
26,7,KY,0,62,3844,3,2009,423.80,400.99,-22.81,34.91,38.39,40.63,41.45,41.08,42.22,41.57,41.23,40.37,39.14
27,8,TX,0,63,3969,3,2009,429.90,406.01,-23.89,35.15,38.39,39.70,41.87,41.83,42.44,42.06,42.54,42.14,39.89
28,9,IL,0,63,3969,3,2009,423.40,411.41,-11.99,32.50,38.36,40.29,41.65,43.25,42.41,43.39,44.33,43.49,41.74
29,10,MD,0,63,3969,3,2009,433.20,450.63,17.43,39.03,44.68,46.59,47.48,46.85,46.24,45.93,45.17,44.93,43.73
30,11,UT,0,61,3721,3,2009,446.40,455.42,9.02,40.44,44.23,46.47,46.70,46.56,46.98,46.88,46.72,46.18,44.26
31,12,CA,0,62,3844,3,2009,469.10,456.62,-12.48,39.44,41.48,43.44,45.57,46.84,46.83,48.58,49.76,48.58,46.10
32,13,NC,0,62,3844,3,2009,479.80,472.75,-7.05,39.09,42.89,45.03,47.28,48.16,49.19,49.84,50.82,51.30,49.15
33,14,OH,0,62,3844,3,2009,510.70,484.36,-26.34,41.74,47.83,49.69,49.27,49.81,49.51,49.44,49.69,49.79,47.59
34,15,NM,0,63,3969,3,2009,540.44,519.09,-21.35,39.61,53.28,53.28,53.28,53.28,53.28,53.28,53.28,53.28,53.28
35,1,CA,0,67,4489,4,2009,378.01,374.18,-3.83,34.85,36.70,37.20,37.69,37.75,37.90,38.26,38.55,38.63,36.65
36,2,CA,0,69,4761,4,2009,401.03,399.65,-1.38,34.33,38.03,39.96,39.96,39.96,41.44,41.44,41.47,41.82,41.24
37,3,TX,0,66,4356,4,2009,450.30,413.16,-37.14,35.68,38.30,41.04,43.19,42.63,42.31,43.41,43.02,42.21,41.37
38,4,CA,0,69,4761,4,2009,437.30,438.23,0.93,38.14,41.93,42.68,42.14,43.60,44.97,46.36,45.56,46.84,46.01
39,5,TN,0,65,4225,4,2009,460.94,446.82,-14.12,36.76,43.29,44.63,45.23,44.64,45.91,46.25,47.60,47.62,44.89
40,6,WA,0,68,4624,4,2009,483.44,452.25,-31.19,38.38,42.88,45.39,47.04,46.72,46.62,47.50,47.62,46.14,43.96
41,7,PA,0,66,4356,4,2009,462.80,459.89,-2.91,40.52,43.10,45.41,46.89,46.86,48.11,46.90,48.40,49.34,44.36
42,8,NC,0,69,4761,4,2009,471.60,463.38,-8.22,37.18,41.89,44.09,45.55,47.18,48.29,49.41,49.69,50.32,49.78
43,9,MA,0,69,4761,4,2009,480.50,471.73,-8.77,43.40,44.57,47.55,48.21,49.50,48.58,49.07,48.72,47.87,44.26
44,10,MD,0,65,4225,4,2009,502.12,494.05,-8.07,44.79,48.60,51.04,51.89,51.08,51.40,51.19,49.78,48.72,45.56
45,11,CA,0,68,4624,4,2009,524.91,518.64,-6.27,47.25,52.63,52.40,52.54,52.82,52.39,52.13,52.79,53.76,49.93
46,12,MI,0,67,4489,4,2009,510.90,542.11,31.21,40.17,47.32,51.57,54.37,55.19,56.43,57.91,59.08,60.69,59.38
47,13,VA,0,67,4489,4,2009,697.80,639.64,-58.16,43.12,60.50,65.44,66.58,67.62,67.53,67.44,68.39,69.35,63.67
48,1,TN,0,74,5476,5,2009,426.10,408.52,-17.58,36.45,39.87,41.40,43.62,43.16,42.31,41.77,41.51,40.95,37.48
49,2,CO,0,72,5184,5,2009,452.50,428.10,-24.40,37.35,41.41,43.74,44.73,44.24,43.92,43.93,43.54,43.80,41.44
50,3,NH,0,71,5041,5,2009,463.90,436.38,-27.52,38.77,42.08,43.95,44.70,45.04,46.01,45.55,45.01,44.43,40.84
51,4,CA,0,72,5184,5,2009,467.43,439.37,-28.06,38.74,44.47,45.45,45.76,45.81,45.34,45.82,44.23,43.28,40.47
52,5,OH,0,70,4900,5,2009,501.90,452.41,-49.49,38.90,44.04,45.67,46.86,47.45,47.15,47.70,46.48,45.01,43.15
53,6,CA,0,74,5476,5,2009,446.97,453.35,6.38,40.20,43.61,45.36,46.14,46.46,46.36,46.41,47.08,46.18,45.55
54,7,CA,0,71,5041,5,2009,510.77,470.82,-39.95,41.00,45.58,48.17,48.76,48.01,48.08,48.12,49.10,49.55,44.45
55,8,TX,0,72,5184,5,2009,471.60,473.69,2.09,37.24,44.04,47.70,49.37,49.93,51.30,50.17,49.47,48.98,45.49
56,9,TX,0,74,5476,5,2009,498.80,504.70,5.90,41.74,48.33,48.33,50.58,52.05,53.01,53.45,52.11,52.74,52.36
57,10,HI,0,74,5476,5,2009,535.90,508.50,-27.40,44.21,49.30,51.56,51.43,52.15,52.35,52.67,51.57,52.08,51.18
58,11,DC,0,71,5041,5,2009,494.40,517.31,22.91,38.09,43.71,47.15,48.98,51.71,54.24,57.15,57.29,59.26,59.73
59,12,VA,0,70,4900,5,2009,540.45,521.40,-19.05,43.63,51.58,54.13,53.45,54.52,53.49,53.68,55.30,53.04,48.58
60,13,TX,0,73,5329,5,2009,507.60,526.09,18.49,43.63,51.93,54.31,54.67,54.65,54.23,54.25,53.66,52.93,51.83
61,14,TN,0,70,4900,5,2009,542.80,573.14,30.34,54.68,54.72,58.33,60.01,58.65,57.61,58.30,57.80,56.52,56.52
62,15,CA,0,72,5184,5,2009,683.89,581.32,-102.57,49.90,57.47,61.47,61.43,60.79,57.41,61.90,57.99,60.31,52.65
63,16,NJ,0,73,5329,5,2009,585.20,596.27,11.07,49.22,57.93,61.16,61.34,61.32,61.88,65.34,62.73,61.69,53.66
